val_sensitivity   , val_precision     , val_auroc         , epoch, val_loss           , step, val_specificity   , val_accuracy      , unlabeled_data_utilization, train_loss         , test_auroc        , test_specificity  , test_sensitivity  , test_precision    , test_accuracy
0.7142857313156128, 0.8108107447624207, 0.7911050915718079,    28, 0.8797839283943176 ,  782, 0.8679245114326477, 0.800000011920929 ,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    28,                    ,  782,                   ,                   ,      0.1479419767856598   , 0.45008084177970886,                   ,                   ,                   ,                   ,  
0.738095223903656 , 0.9117646813392639, 0.8407456874847412,    29, 0.6171031594276428 ,  809, 0.9433962106704712, 0.8526315689086914,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    29,                    ,  809,                   ,                   ,      0.17602384090423584  , 0.45716533064842224,                   ,                   ,                   ,                   ,  
0.6428571343421936, 0.8181818127632141, 0.7648246884346008,    30, 0.5568247437477112 ,  836, 0.8867924809455872, 0.7789473533630371,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    30,                    ,  836,                   ,                   ,      0.18806198239326477  , 0.48282453417778015,                   ,                   ,                   ,                   ,  
0.6666666865348816, 0.875             , 0.795597493648529 ,    31, 0.5285542011260986 ,  863, 0.9245282411575317, 0.8105263113975525,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    31,                    ,  863,                   ,                   ,      0.18556900322437286  , 0.4965697228908539 ,                   ,                   ,                   ,                   ,  
0.6666666865348816, 0.8484848737716675, 0.7861635684967041,    32, 0.6806909441947937 ,  890, 0.9056603908538818, 0.800000011920929 ,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    32,                    ,  890,                   ,                   ,      0.17712518572807312  , 0.46159809827804565,                   ,                   ,                   ,                   ,  
0.738095223903656 , 0.8378377556800842, 0.8124438524246216,    33, 0.7912803292274475 ,  917, 0.8867924809455872, 0.821052610874176 ,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    33,                    ,  917,                   ,                   ,      0.20051102340221405  , 0.4698032736778259 ,                   ,                   ,                   ,                   ,  
0.761904776096344 , 0.800000011920929 , 0.8054806590080261,    34, 0.5342152714729309 ,  944, 0.849056601524353 , 0.8105263113975525,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    34,                    ,  944,                   ,                   ,      0.19871258735656738  , 0.46319714188575745,                   ,                   ,                   ,                   ,  
0.7142857313156128, 0.9090909361839294, 0.828840970993042 ,    35, 0.4276224374771118 ,  971, 0.9433962106704712, 0.8421052694320679,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    35,                    ,  971,                   ,                   ,      0.2023409605026245   , 0.4688259959220886 ,                   ,                   ,                   ,                   ,  
0.6666666865348816, 0.8235294818878174, 0.7767295241355896,    36, 0.42696574330329895,  998, 0.8867924809455872, 0.7894737124443054,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    36,                    ,  998,                   ,                   ,      0.2242288887500763   , 0.4777981638908386 ,                   ,                   ,                   ,                   ,  
0.6904761791229248, 0.8787878751754761, 0.8075022101402283,    37, 0.54909348487854   , 1025, 0.9245282411575317, 0.821052610874176 ,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    37,                    , 1025,                   ,                   ,      0.19692666828632355  , 0.44343191385269165,                   ,                   ,                   ,                   ,  
0.7142857313156128, 0.8823529481887817, 0.8194069862365723,    38, 0.6637009978294373 , 1052, 0.9245282411575317, 0.8315789699554443,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    38,                    , 1052,                   ,                   ,      0.20102135837078094  , 0.4332766532897949 ,                   ,                   ,                   ,                   ,  
0.7142857313156128, 0.8108107447624207, 0.7911050915718079,    39, 0.7447978854179382 , 1079, 0.8679245114326477, 0.800000011920929 ,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    39,                    , 1079,                   ,                   ,      0.2260989546775818   , 0.45742106437683105,                   ,                   ,                   ,                   ,  
0.7142857313156128, 0.8108107447624207, 0.7911050915718079,    40, 0.5180313587188721 , 1106, 0.8679245114326477, 0.800000011920929 ,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    40,                    , 1106,                   ,                   ,      0.2349008470773697   , 0.44942381978034973,                   ,                   ,                   ,                   ,  
0.6904761791229248, 0.90625           , 0.816936194896698 ,    41, 0.46124565601348877, 1133, 0.9433962106704712, 0.8315789699554443,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    41,                    , 1133,                   ,                   ,      0.2495936006307602   , 0.4590350091457367 ,                   ,                   ,                   ,                   ,  
0.6904761791229248, 0.8787878751754761, 0.8075022101402283,    42, 0.7902282476425171 , 1160, 0.9245282411575317, 0.821052610874176 ,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    42,                    , 1160,                   ,                   ,      0.2649131119251251   , 0.45977646112442017,                   ,                   ,                   ,                   ,  
0.6666666865348816, 0.9333332777023315, 0.8144654631614685,    43, 0.4116583466529846 , 1187, 0.9622642397880554, 0.8315789699554443,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    43,                    , 1187,                   ,                   ,      0.21880486607551575  , 0.4542420506477356 ,                   ,                   ,                   ,                   ,  
0.6666666865348816, 0.875             , 0.795597493648529 ,    44, 0.4537895917892456 , 1214, 0.9245282411575317, 0.8105263113975525,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    44,                    , 1214,                   ,                   ,      0.2340904027223587   , 0.43609750270843506,                   ,                   ,                   ,                   ,  
0.7857142686843872, 0.8048780560493469, 0.8173854351043701,    45, 0.4843093752861023 , 1241, 0.849056601524353 , 0.821052610874176 ,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    45,                    , 1241,                   ,                   ,      0.24480478465557098  , 0.46211549639701843,                   ,                   ,                   ,                   ,  
0.738095223903656 , 0.8857142925262451, 0.831311821937561 ,    46, 0.3755936920642853 , 1268, 0.9245282411575317, 0.8421052694320679,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    46,                    , 1268,                   ,                   ,      0.25882816314697266  , 0.444748193025589  ,                   ,                   ,                   ,                   ,  
0.7142857313156128, 0.9090909361839294, 0.828840970993042 ,    47, 0.7457871437072754 , 1295, 0.9433962106704712, 0.8421052694320679,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    47,                    , 1295,                   ,                   ,      0.27347907423973083  , 0.45241403579711914,                   ,                   ,                   ,                   ,  
0.6904761791229248, 0.90625           , 0.816936194896698 ,    48, 0.5355015397071838 , 1322, 0.9433962106704712, 0.8315789699554443,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    48,                    , 1322,                   ,                   ,      0.2516646683216095   , 0.4482206106185913 ,                   ,                   ,                   ,                   ,  
0.738095223903656 , 0.8857142925262451, 0.831311821937561 ,    49, 0.42829078435897827, 1349, 0.9245282411575317, 0.8421052694320679,                           ,                    ,                   ,                   ,                   ,                   ,  
